[16:57:28] 🚀 Iniciando Tri360 Monitoramento Terminal...
[16:57:29] Ω=0,882 → estável
[16:57:34] Ω=0,900 → estável
[16:57:39] Ω=0,793 → oscilação detectada
[16:57:45] Ω=0,913 → estável
[16:57:50] Ω=0,844 → oscilação detectada
[16:57:55] Ω=0,855 → oscilação detectada
[16:58:00] Ω=0,859 → estável
[16:58:05] Ω=0,804 → oscilação detectada
[16:58:10] Ω=0,864 → estável
[16:58:15] Ω=0,833 → oscilação detectada
[16:58:20] Ω=0,914 → estável
[16:58:25] Ω=0,851 → oscilação detectada
[16:58:31] Ω=0,786 → oscilação detectada
[16:58:36] Ω=0,879 → estável
[16:58:41] Ω=0,895 → estável
[16:58:46] Ω=0,798 → oscilação detectada
[16:58:51] Ω=0,788 → oscilação detectada
[16:58:56] Ω=0,818 → oscilação detectada
[16:59:01] Ω=0,813 → oscilação detectada
[16:59:06] Ω=0,869 → estável
[16:59:12] Ω=0,766 → oscilação detectada
[16:59:17] Ω=0,823 → estável
[16:59:22] Ω=0,852 → estável
[16:59:27] Ω=0,873 → estável
[16:59:32] Ω=0,848 → oscilação detectada
[16:59:37] Ω=0,967 → estável
[16:59:42] Ω=0,874 → estável
[16:59:48] Ω=0,900 → estável
[17:00:42] Ω=0,852 → oscilação detectada
[17:00:47] Ω=0,928 → estável
[17:00:52] Ω=0,904 → estável
